isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
QZNMT2636570,Romanticize,Tkay Maidza,Tkay Maidza,337958,335431,0,0,yes
QZWH32600305,Running,Dahi,Ely Rise,1789064,1777989,6,14400,yes
QT3RR2600002,Distant Lover,JIHYO,Angel Delrae,543562,543134,0,0,yes
QT3F32666649,Juvie 99,Chizzy Stephens,Chizzy,873,873,0,0,yes
QMBZ92614738,Got That Right,Joe Bryson,"Joe Bryson,Justin Halpin,Cale Dodds",35728,35690,0,0,yes
USWB12600201,Hits Me,Hudson Westbrook,Ryan Beaver,13201428,9785109,172,91400,yes
USUYG1819784,Forever Ago,Restless Road,Zach Beeken,659607,583996,0,0,yes
UKW3Z2601713,Forever Right Now,JERUB,Jordan Cosmo,242701,241525,3,400,yes
USUS12600333,PLZ HOLD,Snakehips,Tkay Maidza,1060,1060,16,47100,yes
USUS12600332,PLZ HOLD,Snakehips,Tkay Maidza,444372,443410,16,47100,yes
USAT22602375,Celestial,Charlotte MacInnes,Joe Janiak,31785,31310,0,0,yes
USAT22602534,Beast,Charlotte MacInnes,Joe Janiak,57608,48299,0,0,yes
QZ9H32600062,Aerolineas Mostaza,Mustard Service,Marco Ochoa,110906,110786,0,0,yes
QM6N22640719,Jesus In China (Overflow),Chanpan,Wes Singerman,123157,123133,0,0,yes
QZJ842605822,Sad and Beautiful,Gigi Moss,Nick Gale,309475,308939,0,0,yes
DEUM72603242,Voices,Alle Farben,Melodie Wagner,29992,23093,8,2100,yes
QM24S2603382,Life Of The Party,UNSECRET,Noelle Scaggs,3368,2923,0,0,yes
GBAYE2600209,Hush,Muse,Nick Gale,4649210,4107096,388,282100,yes
USWB12601495,Thank Somebody Country,Cody Johnson,Michael Hardy,873929,873929,8,7200,yes
QMRSZ2601970,Hands Up,Jelly Roll,Michael Hardy,34910845,21694604,76578,186658200,yes
QZTGW2602119,Washington,Jonny West,Brock Westover,9199,9155,0,0,yes
QZTGW2602118,Bone Deep,Jonny West,Brock Westover,11140,11122,0,0,yes
QZTGW2602115,Week,Jonny West,Brock Westover,4306,4296,0,0,yes
QZTGW2602116,"Can I Call You, Baby?",Jonny West,Brock Westover,8643,8422,0,0,yes
QZTGW2602117,WCYS?,Jonny West,Brock Westover,4468,4437,0,0,yes
USAT22603941,On Your Mind,FKA Twigs,Volta,2818096,2815552,0,0,yes
QMJMT2605961,Michigan,Infinity Song,Joe Janiak,115637,115337,0,0,yes
QT3EX2653716,Rhyme or Reason,Connor McCutcheon,Connor McCutcheon,7563,7563,0,0,yes
USUM72604818,My Daughter,Vince Gill,Joy Williams,92196,69469,0,0,yes
QZRD92608683,Drunk Enough,Midland,"Jamie Moore,Nathan Barlowe",788646,637833,0,0,yes
QZWH32600288,Find Me,Dahi,Ely Rise,412240,411674,31,284500,yes
